title,ingredients,instructions,cook_time,servings,source,url
Apple & Blackberry Crumble,Plain Flour | Caster Sugar | Butter | Braeburn Apples | Butter | Demerara Sugar | Blackberries | Cinnamon | Ice Cream,"Heat oven to 190C/170C fan/gas 5. Tip the flour and sugar into a large bowl. Add the butter, then rub into the flour using your fingertips to make a light breadcrumb texture. Do not overwork it or the crumble will become heavy. Sprinkle the mixture evenly over a baking sheet and bake for 15 mins or until lightly coloured.
Meanwhile, for the compote, peel, core and cut the apples into 2cm dice. Put the butter and sugar in a medium saucepan and melt together over a medium heat. Cook for 3 mins until the mixture turns to a light caramel. Stir in the apples and cook for 3 mins. Add the blackberries and cinnamon, and cook for 3 mins more. Cover, remove from the heat, then leave for 2-3 mins to continue cooking in the warmth of the pan.
To serve, spoon the warm fruit into an ovenproof gratin dish, top with the crumble mix, then reheat in the oven for 5-10 mins. Serve with vanilla ice cream.",,,TheMealDB,https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg
Apple cake,Eggs | Sugar | Self-raising Flour | Melted Butter | Vanilla Extract | Ground Cinnamon | Apples | Salt | Ground Sugar,"Preheat the oven to 180°C. (350˚F) Grease a cake pan and line it with baking paper.
In a large bowl, break the four eggs with the sugar and beat until they have tripled in volume and become fluffy.
Sift the self-rising baking flour and add it to your egg mixture. Fold this over, preserving as much air as possible. Add the melted (and slightly cooled) butter and mix until combined.
Add cinnamon, pinch of salt and vanilla extract.
Add the diced apple to the batter and gently fold them into the batter so that the apple pieces are evenly distributed. You can roll the apple pieces through some more cinnamon.
Pour the batter into the prepared cake pan and smooth the top with a spatula.
Place the apple slices on top of the batter and press lightly. Sprinkle optionally with some almond shavings.
Bake the apple cake in the preheated oven for about 45-50 minutes, or until a wooden skewer comes out clean when inserted into the center of the cake.
Remove the cake from the oven and let it cool in the mold for a few minutes. Then carefully remove the cake from the mold and let cool completely on a wire rack.
Sprinkle the cooled apple cake with powdered sugar",,,TheMealDB,https://www.themealdb.com/images/media/meals/c0gmo31766594751.jpg
Apple Frangipan Tart,"digestive biscuits | butter | Bramley apples | Salted Butter | caster sugar | free-range eggs, beaten | ground almonds | almond extract | flaked almonds","Preheat the oven to 200C/180C Fan/Gas 6.
Put the biscuits in a large re-sealable freezer bag and bash with a rolling pin into fine crumbs. Melt the butter in a small pan, then add the biscuit crumbs and stir until coated with butter. Tip into the tart tin and, using the back of a spoon, press over the base and sides of the tin to give an even layer. Chill in the fridge while you make the filling.
Cream together the butter and sugar until light and fluffy. You can do this in a food processor if you have one. Process for 2-3 minutes. Mix in the eggs, then add the ground almonds and almond extract and blend until well combined.
Peel the apples, and cut thin slices of apple. Do this at the last minute to prevent the apple going brown. Arrange the slices over the biscuit base. Spread the frangipane filling evenly on top. Level the surface and sprinkle with the flaked almonds.
Bake for 20-25 minutes until golden-brown and set.
Remove from the oven and leave to cool for 15 minutes. Remove the sides of the tin. An easy way to do this is to stand the tin on a can of beans and push down gently on the edges of the tin.
Transfer the tart, with the tin base attached, to a serving plate. Serve warm with cream, crème fraiche or ice cream.",,,TheMealDB,https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg
Apricot & Turkish delight mess,Mascarpone | Greek Yogurt | Icing Sugar | Orange Blossom Water | Meringue Nests | Apricot | Turkish Delight | Almonds | Mint,"step 1
Place the mascarpone, yogurt, sugar and orange flower water into a large bowl and whisk until thickened. Fold the remaining ingredients through, then divide the mix between 2 dessert glasses or bowls and decorate with extra mint, if you like.",,,TheMealDB,https://www.themealdb.com/images/media/meals/p277uc1764109195.jpg
Arepa Pabellón,Corn Arepa Filled With Mozarella Cheese | Fried Ripe Bananas | Black Beans | Pico De Gallo Sauce | Shredded Meat | Tomato | Salt | Pepper,"Prepare the meat in a skillet and add salt and pepper to taste, heat the beans over medium heat in a pan, fry or grill the ripe plantains as indicated on its package and cut the tomato into small cubes. Reserve these ingredients until filling. 
Preheat the grill or pan and grill the arepa, putting it once on each side until they are golden brown. 
With the help of a knife, open it by the edge through the middle, creating a space to fill it with the ripe plantain, the beans, meat and chopped tomato. 
Serve with a little pico de gallo or guacamole dip sauce. ",,,TheMealDB,https://www.themealdb.com/images/media/meals/13fg4j1764441982.jpg
Arepa pelua,Beef | Onion | Red Pepper | Garlic | Cumin | Oregano | Paprika | Beef Stock | Water | Salt | Cheese | Extra Virgin Olive Oil,"Cook the meat: Place the flank steak in a pot with broth or water and salt. Cook over low heat for about 2 hours, until tender and easy to shred.
Shred the meat: Once cooked, drain and shred the meat using two forks.
Prepare the vegetables: Sauté chopped onion, bell pepper, and garlic in a little oil. Add cumin, oregano, paprika, and salt. Stir in the meat and cook for a few minutes until the flavors are well combined.
Make the dough: In a bowl, mix the cornmeal with warm water and salt until a soft dough forms. Let it rest for 5 minutes.
Form the arepas: Divide the dough into 6 portions, shape into balls, and flatten into thick discs.
Cook: Cook the arepas on a griddle or skillet over medium heat for 2–3 minutes on each side until golden. You can then bake them for a few minutes if you prefer them crispier.
Fill: Slice the arepas open on one side, fill with the hot shredded beef, and top with grated cheese.",,,TheMealDB,https://www.themealdb.com/images/media/meals/jgl9qq1764437635.jpg
Arroz al horno (baked rice),Extra Virgin Olive Oil | Pork belly slices | Black Pudding | Bacon lardon | Onion | Red Pepper | Plum Tomatoes | Garlic Clove | Paprika | Chilli Flakes | Dried white beans | Chicken Stock | Thyme | Paella Rice | Lemon Juice,"step 1
Heat oven to 200C/180C/gas 6. Heat half the oil in a deep frying or sauté pan (or shallow casserole dish) measuring around 30cm in diameter. Over a high heat, colour the pork belly slices on each side in several batches, then transfer to a bowl. Add the remaining oil to the pan and lower the heat to medium, then add the black pudding and bacon and fry all over for several mins. Remove with a slotted spoon. Fry the onion and peppers for around 10 mins until soft and pale gold, then add the tomato and cook until soft. Add the garlic, smoked paprika and chilli flakes and cook for another 2 mins, then put the pork, black pudding and bacon back in the pan. Add the beans, stock and whichever herb you're using, and bring everything to the boil.

step 2
Sprinkle the rice around the pork belly, pushing it underneath the stock. Let the stock come to the boil again, season well, then transfer to the oven (leave it uncovered). Cook for 20 mins without stirring, then check to see how the rice is doing. The rice should be tender and the stock absorbed. If it’s not ready, put back in the oven for another 5 mins, then check again. Taste for seasoning.

step 3
Squeeze lemon juice over the top and drizzle over some extra virgin olive oil just before serving, if you like.",,,TheMealDB,https://www.themealdb.com/images/media/meals/qt4i0n1763256454.jpg
Arroz con gambas y calamar,Raw King Prawns | Olive Oil | Onion | Bay Leaf | Saffron | Paella Rice | Tomato Puree | White Wine | Seafood stock | Squid,"step 1
Peel and devein most of the prawns (a fishmonger should be able to do this for you), keeping a few whole for decoration, if you like. Heat the olive oil in a large frying pan or shallow flameproof casserole over a medium-low heat and fry the onion for 5 mins until softened. Add the bay leaf, saffron, rice and tomato purée, and cook for 1-2 mins more, stirring.

step 2
Pour in the wine and bubble for 1-2 mins, then pour in the seafood stock and 150ml water. Cook for 5 mins, then add the squid, season well and stir to combine. Bring to the boil, then cover and reduce the heat to a gentle simmer. Cook for 12 mins more, adding a little more water if the mixture starts to look dry.

step 3
Uncover the pan and stir through the peeled prawns, then arrange any whole prawns on top of the rice mixture. Cover again and simmer for a further 5-6 mins until the prawns are pink and cooked through. Leave to stand for a couple of minutes before serving from the pan.",,,TheMealDB,https://www.themealdb.com/images/media/meals/jc6oub1763196663.jpg
Asado,Mixed Beef Cuts | Chorizo | Morcilla | Salt,"Prepare the Fire: Start a wood fire in your grill and let it burn down to coals.
Season the Meat: Generously salt the beef cuts.
Grill the Meat: Place the beef on the grill, starting with the thickest cuts farthest from the coals. Add chorizo and morcilla after the beef has been cooking for a while.
Cook to Perfection: Cook the meat, turning occasionally, until it reaches your desired doneness. Typically, ribs may take up to 2 hours; thinner cuts will cook faster.
Rest and Serve: Let the meat rest for about 10 minutes before slicing. Serve with chimichurri sauce and grilled vegetables.
Pro Tips:

Use a mix of wood and charcoal for a consistent heat source. Wood adds flavor, while charcoal maintains temperature.
Season the meat just before grilling to ensure it retains its moisture and flavor.
Serving Suggestions:

Serve with a side of chimichurri sauce, a fresh tomato salad, and crusty bread. Pair with a robust Malbec wine to complement the rich flavors of the meat.",,,TheMealDB,https://www.themealdb.com/images/media/meals/kgfh3q1763075438.jpg
Aubergine & hummus grills,Aubergine | Vegetable Oil | Bread | Hummus | Walnuts | Parsley | Cherry Tomatoes | Lemon | Extra Virgin Olive Oil,"step 1
Lay the aubergine out in one layer on a large baking sheet. Brush sparingly with vegetable oil, then season generously. Grill for 15 mins, turning twice and brushing with oil until the slices are softened and cooked through. Meanwhile, whizz the bread into crumbs. Add 2 tsp oil and whizz briefly again, to coat.

step 2
Spread a couple of tsps of hummus on top of each slice of aubergine. Tip the breadcrumbs onto a large plate, then press the hummus side of the aubergines into the crumbs to coat. Grill again, crumb-side up, for about 3 mins until golden.

step 3
Toss the walnuts, parsley and cherry tomatoes in a bowl, season, then add the lemon juice and olive oil and toss again. Serve the grills with the salad, a dollop more hummus and some pitta bread.",,,TheMealDB,https://www.themealdb.com/images/media/meals/zub3s91764110535.jpg
Aubergine couscous salad,Aubergine | Olive Oil | Couscous | Vegetable Stock | Cherry Tomatoes | Mint | Goats Cheese | Lemon,"step 1
Heat grill to high. Put the aubergine on a baking sheet, brush with oil and season. Grill for about 15 mins, turning and brushing with more oil halfway, until browned and softened.

step 2
Meanwhile, tip the couscous into a large bowl, pour over the stock, then cover and leave for 10 mins. Mix the tomatoes, mint, goat’s cheese and remaining oil together. Fluff the couscous up with a fork, then stir in the aubergines, tomato mixture and lemon juice.",,,TheMealDB,https://www.themealdb.com/images/media/meals/02s6gc1763799560.jpg
Aussie Burgers,Lean Minced Steak | Cooked Beetroot | Naan Bread | Rocket | Soured cream and chive dip,"step 1
Make the burgers: Tip the meat into a bowl and sprinkle over 1 tsp salt and a good grinding of black pepper.Work with wet hands to mix in the seasoning. Divide into four with your hands and shape into burgers. (It can be frozen at this stage.)

step 2
Sort out your ingredients: Slice the beetroot and split the naan breads.

step 3
Toast the naans: Heat a griddle pan or barbecue. Griddle the naans on both sides until lightly toasted and set aside. Add the burgers to the grill or barbecue and cook for 2-3 minutes, then turn and cook the other side for a further 2-3 minutes.

step 4
Assemble the dish: Set half a toasted naan on each serving plate and put a pile of rocket on each. Top with a burger, then a few slices of beetroot and a dollop of soured cream. Sprinkle with salt and freshly ground black pepper and serve immediately with a big green salad and chips. A glass of red wine wouldn’t go amiss, either.",,,TheMealDB,https://www.themealdb.com/images/media/meals/44bzep1761848278.jpg
Authentic Norwegian Kransekake,Almonds | Egg White | Powdered Sugar | Powdered Sugar | Egg White | Lemon Juice,"Grind almonds in an almond grinder or food processor.
▢
Mix almonds and powdered sugar together in a large mixing bowl. Add three of the egg whites and knead the dough together with your hands until it comes together in a ball. Wrap in cling film and leave in the fridge for at least an hour, preferably until the next day.
▢
Grease the kransekake forms thoroughly and coat with semolina, flour, or bread crumbs.
▢
Preheat oven to 210°C (410°F) top and bottom heat. Divide the dough into six sections.
▢
Slowly add the remaining egg white to the dough and knead it until you can roll it into long sausages about as thick as your index finger. Fill the forms with the dough sausages, pinching the ends together to make rings.
▢
Set the forms on a baking sheet and back in the middle of the oven for about 10 – 12 minutes, until the tops are golden brown.",,,TheMealDB,https://www.themealdb.com/images/media/meals/yk78uc1763075719.jpg
Avocado dip with new potatoes,Avocado | Natural Yoghurt | Lime | Lemon | Baby New Potatoes | Olive Oil | Hot Chilli Powder | Cumin Seeds | Tortillas,"step 1
Whizz half the avocado flesh with the yogurt, lime and lemon juice and seasoning. Dice the remaining avocado, then gently stir into the whizzed mix with most of the lime zest. Cover, then chill until ready to serve.

step 2
Boil potatoes for 6 mins, then drain well and toss with olive oil, chilli powder and cumin seeds. Now set aside until half an hour before your guests arrive.

step 3
Heat oven to 200C/180C fan/gas 6, then roast potatoes for about 30 mins, shaking the tray halfway, until golden and tender. Transfer the dip to one or two bowls, scatter with the remaining lime zest and serve with the hot potatoes, and tortilla chips for dipping.",,,TheMealDB,https://www.themealdb.com/images/media/meals/flrajf1762341295.jpg
Ayam Percik,Chicken Thighs | Challots | Ginger | Garlic Clove | Cayenne Pepper | Turmeric | Cumin | Coriander | Fennel | Tamarind Paste | Coconut Milk | Sugar | Water,"In a blender, add the ingredients for the spice paste and blend until smooth.
Over medium heat, pour the spice paste in a skillet or pan and fry for 10 minutes until fragrant. Add water or oil 1 tablespoon at a time if the paste becomes too dry. Don't burn the paste. Lower the fire slightly if needed.
Add the cloves, cardamom, tamarind pulp, coconut milk, water, sugar and salt. Turn the heat up and bring the mixture to boil. Turn the heat to medium low and simmer for 10 minutes. Stir occasionally. It will reduce slightly. This is the marinade/sauce, so taste and adjust seasoning if necessary. Don't worry if it's slightly bitter. It will go away when roasting.
When the marinade/sauce has cooled, pour everything over the chicken and marinate overnight to two days.
Preheat the oven to 425 F.
Remove the chicken from the marinade. Spoon the marinade onto a greased (or aluminum lined) baking sheet. Lay the chicken on top of the sauce (make sure the chicken covers the sauce and the sauce isn't exposed or it'll burn) and spread the remaining marinade on the chicken. Roast for 35-45 minutes or until internal temp of the thickest part of chicken is at least 175 F.
Let chicken rest for 5 minutes. Brush the chicken with some of the oil. Serve chicken with the sauce over steamed rice (or coconut rice).",,,TheMealDB,https://www.themealdb.com/images/media/meals/020z181619788503.jpg
Recipes,,,,,BBCGoodFood,/recipes/
All Recipes,,,,,BBCGoodFood,/recipes/
Next level triple chocolate brownies,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/next-level-triple-chocolate-brownies/
Umami roast potatoes,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/umami-roast-potatoes/
Spring veg fricassée with cheesy polenta,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/spring-veg-fricassee-with-cheesy-polenta/
Roast rack of lamb with rosemary,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/roast-rack-lamb-rosemary/
Chocolate pizza,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/chocolate-pizza/
Cake pops,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/cake-pops/
Strawberry smoothie & banana milkshake ice lollies,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/strawberry-smoothie-banana-milkshake-ice-lollies/
Chocolate chip traybake,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/chocolate-chip-traybake/
Spaghetti puttanesca,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/spaghetti-puttanesca/
Turkey escalopes & giant couscous,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/turkey-escalopes-giant-couscous/
Coconut fish curry & rice,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/coconut-fish-curry-rice/
30-minute chicken curry,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/30-minute-chicken-curry/
Creamy mushroom chicken,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/creamy-mushroom-chicken/
Roast aubergine with goulash sauce & sweet potato fries,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/roast-aubergine-goulash-sauce-sweet-potato-fries/
Cookies & cream fridge cake,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/cookies-cream-fridge-cake/
Slow cooker honey garlic chicken,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/slow-cooker-honey-garlic-chicken/
Vegan salad bowl,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/buddha-bowl-salad/
Chicken & tzatziki wraps,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/chicken-tzatziki-wraps/
Teriyaki tofu,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/teriyaki-tofu/
"Smoky cod, broccoli & orzo bake",,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/smoky-cod-broccoli-orzo-bake/
Spiced chicken hotpot,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/spiced-chicken-hotpot/
Coconut cashew & butternut squash curry,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/coconut-cashew-butternut-squash-curry/
Easter chocolate pots with pick ‘n’ mix toppings,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/easter-chocolate-pots-pick-n-mix-toppings/
Vanilla pavlova with pineapple & passion fruit,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/vanilla-pavlova-with-pineapple-passion-fruit/
Lemony Easter chicks,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/lemony-easter-chicks/
Simnel cinnamon rolls,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/simnel-cinnamon-rolls/
Easter millionaire’s squares,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/easter-millionaires-squares/
Easter traybake,,,,,BBCGoodFood,https://www.bbcgoodfoodme.com/recipes/easter-traybake/
سلطة الكاوبوى,,,,,Food.com,https://www.fatafeat.com/recipe/15984/طريقة-عمل-سلطة-الكاوبوى
سوفليه الشوكولاتة,,,,,Food.com,https://www.fatafeat.com/recipe/8202/طريقة-عمل-سوفليه-الشوكولاتة
قمر الدين تيراميسومدة الطبخ0 دقيقةدرجة الصعوبةسهلةالمزيد,,,,,Food.com,https://www.fatafeat.com/recipe/17173/طريقة-عمل-قمر-الدين-تيراميسو
