title,ingredients,instructions,cook_time,servings,source,url
15-minute chicken & halloumi burgers,2 Chicken Breasts | 1 tbsp Oil | 4 tbsp Hotsauce | ½ Lemon Juice | 2 Buns | 250g Cheese | ¼ Cabbage | 2 tbsp Mayonnaise | 4 tbsp Sour Cream | 4 leaves Lettuce | 2 Red Pepper,"STEP 1

Put the chicken breasts between two pieces of baking parchment and use a rolling pin to gently bash them until they are approximately 1cm thick. Cut each chicken breast into two even pieces.

STEP 2

If you're using a frying pan, heat two frying pans over medium-high heat, with one of them containing oil. Fry the chicken in the oiled pan for 3-4 mins on each side until they are cooked through. Season the chicken, reduce the heat, drizzle in the chilli sauce and half of the lemon juice, and cook for an additional 1-2 mins until the sauce is reduced. Remove the chicken from the heat.

STEP 3

If you're using an air-fryer, preheat it to 180C for 4 mins. Add the chicken to the air-fryer and cook for 12 mins. Drizzle over the chilli sauce and half the lemon juice and cook for an additional 1-2 mins until the chicken is cooked through and the sauce is reduced. Remove the chicken and keep it warm.
STEP 4

While the chicken is cooking, toast the buns in the dry frying pan for 30 seconds. Transfer them to a plate. If you're using an air fryer, put the buns in the air fryer for 1-2 mins until they are warm. Increase the air fryer temperature to 200C. Add the halloumi to the air fryer basket and cook for 10 mins, turning halfway through, until it's golden. Toss the cabbage with the mayo and the remaining lemon juice.

STEP 5

Spoon the hummus (or dip of your choice) into the toasted buns, then top with the rocket, chilli chicken, halloumi, and peppers. Drizzle with a little more chilli sauce, spoon over the cabbage, season with black pepper, and top with the bun lids. Serve with any extra cabbage on the side or a green salad.",,,TheMealDB,https://www.themealdb.com/images/media/meals/vdwloy1713225718.jpg
Ayam Percik,6 Chicken Thighs | 16 Challots | 1 1/2  Ginger | 6 Garlic Clove | 8 Cayenne Pepper | 2 tbs Turmeric | 1 1/2  Cumin | 1 1/2  Coriander | 1 1/2  Fennel | 2 tbs Tamarind Paste | 1 can  Coconut Milk | 1 tsp  Sugar | 1 cup  Water,"In a blender, add the ingredients for the spice paste and blend until smooth.
Over medium heat, pour the spice paste in a skillet or pan and fry for 10 minutes until fragrant. Add water or oil 1 tablespoon at a time if the paste becomes too dry. Don't burn the paste. Lower the fire slightly if needed.
Add the cloves, cardamom, tamarind pulp, coconut milk, water, sugar and salt. Turn the heat up and bring the mixture to boil. Turn the heat to medium low and simmer for 10 minutes. Stir occasionally. It will reduce slightly. This is the marinade/sauce, so taste and adjust seasoning if necessary. Don't worry if it's slightly bitter. It will go away when roasting.
When the marinade/sauce has cooled, pour everything over the chicken and marinate overnight to two days.
Preheat the oven to 425 F.
Remove the chicken from the marinade. Spoon the marinade onto a greased (or aluminum lined) baking sheet. Lay the chicken on top of the sauce (make sure the chicken covers the sauce and the sauce isn't exposed or it'll burn) and spread the remaining marinade on the chicken. Roast for 35-45 minutes or until internal temp of the thickest part of chicken is at least 175 F.
Let chicken rest for 5 minutes. Brush the chicken with some of the oil. Serve chicken with the sauce over steamed rice (or coconut rice).",,,TheMealDB,https://www.themealdb.com/images/media/meals/020z181619788503.jpg
Brown Stew Chicken,1 whole Chicken | 1 chopped Tomato | 2 chopped Onions | 2 chopped Garlic Clove | 1 chopped Red Pepper | 1 chopped Carrots | 1 Lime | 2 tsp Thyme | 1 tsp  Allspice | 2 tbs Soy Sauce | 2 tsp Cornstarch | 2 cups  Coconut Milk | 1 tbs Vegetable Oil,"Squeeze lime over chicken and rub well. Drain off excess lime juice.
Combine tomato, scallion, onion, garlic, pepper, thyme, pimento and soy sauce in a large bowl with the chicken pieces. Cover and marinate at least one hour.
Heat oil in a dutch pot or large saucepan. Shake off the seasonings as you remove each piece of chicken from the marinade. Reserve the marinade for sauce.
Lightly brown the chicken a few pieces at a time in very hot oil. Place browned chicken pieces on a plate to rest while you brown the remaining pieces.
Drain off excess oil and return the chicken to the pan. Pour the marinade over the chicken and add the carrots. Stir and cook over medium heat for 10 minutes.
Mix flour and coconut milk and add to stew, stirring constantly. Turn heat down to minimum and cook another 20 minutes or until tender.",,,TheMealDB,https://www.themealdb.com/images/media/meals/sypxpx1515365095.jpg
Chick-Fil-A Sandwich,1 Chicken Breast | 1/4 cup Pickle Juice | 1 Egg | 1/4 cup Milk | 1/2 cup  Flour | 1 tbs Icing Sugar | 1/2 tsp Paprika | 1/2 tsp Salt | 1/4 tsp Black Pepper | 1/4 tsp Garlic Powder | 1/4 tsp Celery Salt | 1/2 tsp Cayenne Pepper | 1 cup  Olive Oil | 1 Sesame Seed Burger Buns,"Wrap the chicken loosely between plastic wrap and pound gently with the flat side of a meat tenderizer until about 1/2 inch thick all around.
Cut into two pieces, as even as possible.
Marinate in the pickle juice for 30 minutes to one hour (add a teaspoon of Tabasco sauce now for a spicy sandwich).
Beat the egg with the milk in a bowl.
Combine the flour, sugar, and spices in another bowl.
Dip the chicken pieces each into the egg on both sides, then coat in flour on both sides.
Heat the oil in a skillet (1/2 inch deep) to about 345-350.
Fry each cutlet for 2 minutes on each side, or until golden and cooked through.
Blot on paper and serve on toasted buns with pickle slices.",,,TheMealDB,https://www.themealdb.com/images/media/meals/sbx7n71587673021.jpg
Chicken & chorizo rice pot,1 tblsp  Oil | 1 whole Chicken | 1 Large Chopped Onion | 1 chopped Red Pepper | 3 Cloves Crushed Garlic | 225g Chorizo | 1 tblsp  Tomato Puree | 1 tablespoon chopped Thyme | 150ml White Wine | 800ml Chicken Stock | 400g Rice | 2 tbs chopped Parsley,"step 1
Heat the oil in a large flameproof casserole dish and brown the chicken pieces on all sides – you may have to do this in batches. Remove from the dish and put to one side.

step 2
Lower the heat, add the onion and pepper, and gently cook for 10 mins until softened. Add the garlic and chorizo, and cook for a further 2 mins until the chorizo has released some of its oils into the dish. Stir in the tomato purée and cook for 1 min more.

step 3
Return the chicken pieces to the dish along with the thyme, white wine and stock. Bring the liquid to a boil, cover the dish with a tight-fitting lid and lower the heat. Cook for 30 mins.

step 4
Tip in the rice and stir everything together. Cover, set over a low heat and cook for a further 15 mins, or until the rice is cooked and has absorbed most of the cooking liquid. Remove from the heat and leave the dish to sit for 10 mins to absorb any remaining liquid. Season to taste and scatter with parsley to serve.",,,TheMealDB,https://www.themealdb.com/images/media/meals/fk80jp1763280767.jpg
Chicken & mushroom Hotpot,50g Butter | 1 chopped Onion | 100g  Mushrooms | 40g Plain Flour | 1 Chicken Stock Cube | pinch Nutmeg | pinch Mustard Powder | 250g Chicken | 2 Handfuls Sweetcorn | 2 large Potatoes | 1 knob Butter,"Heat oven to 200C/180C fan/gas 6. Put the butter in a medium-size saucepan and place over a medium heat. Add the onion and leave to cook for 5 mins, stirring occasionally. Add the mushrooms to the saucepan with the onions.

Once the onion and mushrooms are almost cooked, stir in the flour – this will make a thick paste called a roux. If you are using a stock cube, crumble the cube into the roux now and stir well. Put the roux over a low heat and stir continuously for 2 mins – this will cook the flour and stop the sauce from having a floury taste.

Take the roux off the heat. Slowly add the fresh stock, if using, or pour in 500ml water if you’ve used a stock cube, stirring all the time. Once all the liquid has been added, season with pepper, a pinch of nutmeg and mustard powder. Put the saucepan back onto a medium heat and slowly bring it to the boil, stirring all the time. Once the sauce has thickened, place on a very low heat. Add the cooked chicken and vegetables to the sauce and stir well. Grease a medium-size ovenproof pie dish with a little butter and pour in the chicken and mushroom filling.

Carefully lay the potatoes on top of the hot-pot filling, overlapping them slightly, almost like a pie top.

Brush the potatoes with a little melted butter and cook in the oven for about 35 mins. The hot-pot is ready once the potatoes are cooked and golden brown.",,,TheMealDB,https://www.themealdb.com/images/media/meals/uuuspp1511297945.jpg
Chicken Alfredo Primavera,2 tablespoons Butter | 3 tablespoons Olive Oil | 5 boneless Chicken | 1 teaspoon Salt | 1 cut into 1/2-inch cubes Squash | 1 Head chopped Broccoli | 8-ounce sliced mushrooms | 1 red Pepper | 1 chopped onion | 3 cloves garlic | 1/2 teaspoon red pepper flakes | 1/2 cup white wine | 1/2 cup milk | 1/2 cup heavy cream | 1 cup grated Parmesan cheese | 16 ounces bowtie pasta | pinch Salt | pinch  Pepper | chopped Parsley,"Heat 1 tablespoon of butter and 2 tablespoons of olive oil in a large skillet over medium-high heat. Season both sides of each chicken breast with seasoned salt and a pinch of pepper. Add the chicken to the skillet and cook for 5-7 minutes on each side, or until cooked through.  While the chicken is cooking, bring a large pot of water to a boil. Season the boiling water with a few generous pinches of kosher salt. Add the pasta and give it a stir. Cook, stirring occasionally, until al dente, about 12 minutes. Reserve 1/2 cup of  pasta water before draining the pasta.  Remove the chicken from the pan and transfer it to a cutting board; allow it to rest. Turn the heat down to medium and dd the remaining 1 tablespoon of butter and olive oil to the same pan you used to cook the chicken. Add the veggies (minus the garlic) and red pepper flakes to the pan and stir to coat with the oil and butter (refrain from seasoning with salt until the veggies are finished browning). Cook, stirring often, until the veggies are tender, about 5 minutes. Add the garlic and a generous pinch of salt and pepper to the pan and cook for 1 minute.  Deglaze the pan with the white wine. Continue to cook until the wine has reduced by half, about 3 minutes. Stir in the milk, heavy cream, and reserved pasta water. Bring the mixture to a gentle boil and allow to simmer and reduce for 2-3 minutes. Turn off the heat and add the Parmesan cheese and cooked pasta. Season with salt and pepper to taste. Garnish with Parmesan cheese and chopped parsley, if desired. ",,,TheMealDB,https://www.themealdb.com/images/media/meals/syqypv1486981727.jpg
Chicken Basquaise,1.5kg Chicken | 25g Butter | 6 tblsp Olive Oil | 2 sliced Red Onions | 3 Large Red Pepper | 130g Chorizo | 8 Sun-Dried Tomatoes | 6 cloves sliced Garlic | 300g Basmati Rice | drizzle Tomato Puree | ½ tsp Paprika | 4 Bay Leaves | Handful Thyme | 350ml Chicken Stock | 180g Dry White Wine | 2 Lemons | 100g  Black Olives | to serve Salt | to serve Pepper,"Preheat the oven to 180°C/Gas mark 4. Have the chicken joints ready to cook. Heat the butter and 3 tbsp olive oil in a flameproof casserole or large frying pan. Brown the chicken pieces in batches on both sides, seasoning them with salt and pepper as you go. Don't crowd the pan - fry the chicken in small batches, removing the pieces to kitchen paper as they are done.

Add a little more olive oil to the casserole and fry the onions over a medium heat for 10 minutes, stirring frequently, until softened but not browned. Add the rest of the oil, then the peppers and cook for another 5 minutes.

Add the chorizo, sun-dried tomatoes and garlic and cook for 2-3 minutes. Add the rice, stirring to ensure it is well coated in the oil. Stir in the tomato paste, paprika, bay leaves and chopped thyme. Pour in the stock and wine. When the liquid starts to bubble, turn the heat down to a gentle simmer. Press the rice down into the liquid if it isn't already submerged and place the chicken on top. Add the lemon wedges and olives around the chicken.

Cover and cook in the oven for 50 minutes. The rice should be cooked but still have some bite, and the chicken should have juices that run clear when pierced in the thickest part with a knife. If not, cook for another 5 minutes and check again.",,,TheMealDB,https://www.themealdb.com/images/media/meals/wruvqv1511880994.jpg
Chicken Congee,8 oz  Chicken | pinch Salt | pinch Pepper | 1 tsp  Ginger Cordial | 1 tsp  Ginger | 1 tbs Spring Onions | 1/2 cup  Rice | 8 cups  Water | 2 oz  Coriander,"STEP 1 - MARINATING THE CHICKEN
In a bowl, add chicken, salt, white pepper, ginger juice and then mix it together well.
Set the chicken aside.
STEP 2 - RINSE THE WHITE RICE
Rinse the rice in a metal bowl or pot a couple times and then drain the water.
STEP 2 - BOILING THE WHITE RICE
Next add 8 cups of water and then set the stove on high heat until it is boiling. Once rice porridge starts to boil, set the stove on low heat and then stir it once every 8-10 minutes for around 20-25 minutes.
After 25 minutes, this is optional but you can add a little bit more water to make rice porridge to make it less thick or to your preference.
Next add the marinated chicken to the rice porridge and leave the stove on low heat for another 10 minutes.
After an additional 10 minutes add the green onions, sliced ginger, 1 pinch of salt, 1 pinch of white pepper and stir for 10 seconds.
Serve the rice porridge in a bowl
Optional: add Coriander on top of the rice porridge.",,,TheMealDB,https://www.themealdb.com/images/media/meals/1529446352.jpg
Chicken Couscous,1 tbsp Olive Oil | 1 chopped Onion | 200g Chicken Breast | pinch Ginger | 2 tblsp  Harissa Spice | 10 Dried Apricots | 220g Chickpeas | 200g Couscous | 200ml Chicken Stock | Handful Coriander,"Heat the olive oil in a large frying pan and cook the onion for 1-2 mins just until softened. Add the chicken and fry for 7-10 mins until cooked through and the onions have turned golden. Grate over the ginger, stir through the harissa to coat everything and cook for 1 min more.

Tip in the apricots, chickpeas and couscous, then pour over the stock and stir once. Cover with a lid or tightly cover the pan with foil and leave for about 5 mins until the couscous has soaked up all the stock and is soft. Fluff up the couscous with a fork and scatter over the coriander to serve. Serve with extra harissa, if you like.",,,TheMealDB,https://www.themealdb.com/images/media/meals/qxytrx1511304021.jpg
Æbleskiver,2 cups  Flour | 1 teaspoon Salt | 2 tblsp  Granulated Sugar | 1 teaspoon Baking Powder | 1/2 teaspoon Cardamom | 3 Egg | 2 cups  Buttermilk | For Greasing Butter | Sprinkling Powdered Sugar | 1 scoop Raspberry Jam,"Whisk the flour, salt, sugar, baking soda, and cardamom together in a large bowl.
▢
Separate the eggs and add the egg yolks to the flour mixture. Pour in the buttermilk (or cultured milk) and whisk the batter together until smooth. Cover and refrigerate for about 30 minutes.
▢
Use a hand (or stand) mixer to beat the egg whites until stiff. Carefully fold into the æbleskiver batter.
▢
Heat the pan on medium heat. Once hot, brush the pan with butter and fill each æbleskive hole almost full with the batter.
▢
Once the edges become firm use a knitting needle or wooden skewer to turn the æbleskiver about 1/4. Continue turning until you get round pancake spheres. They should be golden brown.
▢
Remove the æbleskiver from the pan and serve with powdered sugar and jam.",,,TheMealDB,https://www.themealdb.com/images/media/meals/wkhg581762773124.jpg
Alfajores,300g All purpose flour | 200g Cornstarch | 200g Butter | 100g  Sugar | 2 Egg Yolks | 1 teaspoon Lemon Zest | Dulce de leche | Sprinkling Desiccated Coconut,"Make the Dough: Cream butter and sugar. Add egg yolks and lemon zest. Gradually mix in flour and cornstarch to form a dough. Chill for 1 hour.
Bake the Cookies: Roll out the dough, cut into circles, and bake at 180°C (350°F) for 12-15 minutes. Let cool.
Assemble: Spread dulce de leche on one cookie, then sandwich with another. Roll the edges in coconut flakes.
Pro Tips:

Chill the dough before rolling it out to make it easier to handle and to prevent the cookies from spreading too much while baking.
Dip the alfajores in melted chocolate and let them set on a wire rack for an extra decadent treat.",,,TheMealDB,https://www.themealdb.com/images/media/meals/a4kgf21763075288.jpg
Anzac biscuits,85g Porridge oats | 85g Desiccated Coconut | 100g  Plain Flour | 100g  Caster Sugar | 100g  Butter | 1 tblsp  Golden Syrup | 1 teaspoon Bicarbonate Of Soda,"step 1
Heat oven to 180C/fan 160C/gas 4. Put the oats, coconut, flour and sugar in a bowl. Melt the butter in a small pan and stir in the golden syrup. Add the bicarbonate of soda to 2 tbsp boiling water, then stir into the golden syrup and butter mixture.

step 2
Make a well in the middle of the dry ingredients and pour in the butter and golden syrup mixture. Stir gently to incorporate the dry ingredients.

step 3
Put dessertspoonfuls of the mixture on to buttered baking sheets, about 2.5cm/1in apart to allow room for spreading. Bake in batches for 8-10 mins until golden. Transfer to a wire rack to cool.",,,TheMealDB,https://www.themealdb.com/images/media/meals/q47rkb1762324620.jpg
