title,ingredients,instructions,url
Easy Thai drumsticks,sweet chilli sauce; Thai Red Curry Paste; Orange; Orange; Garlic; Chicken drumsticks,"step 1
Heat oven to 200C/180C fan/gas 6 and line a baking tray with foil.
 Mix the chilli sauce with the orange zest and juice, garlic, curry paste and ¼ tsp salt.
 Add the chicken and coat really well.


step 2
Arrange the drumsticks on the foil, spaced apart.
 Coat the chicken with any marinade left in the bowl, then roast for 35-40 mins until tender.
 Wrap in foil or pack into a food container.
",https://www.bbcgoodfood.com/recipes/fragrant-thai-drumsticks
Easy Pistachio cake,Plain Flour; Butter; Mascarpone; Unwaxed Lime; Caster Sugar; Pistachio Paste; Baking Powder; Icing Sugar; Egg; Double Cream; Vanilla Extract; Raspberries; Pistachio,"Heat the oven to 180C/160C fan/gas 4.
 Butter and line a 23cm springform cake tin.
 Tip 150g of the pistachios into a food processor and blitz until finely ground.
 Tip into a bowl and mix in the flour, baking powder and pinch of salt.
 Beat the butter and sugar in a separate bowl until fluffy and pale, around 5 mins.
 Crack in the eggs one at a time, beating well for 1 min after each addition, until they have all been added.
 Beat in the vanilla, then fold in the flour mixture gently.
 Carefully spoon into the prepared tin and bake for 35-40 mins until a skewer inserted into the middle comes out clean.
 Set aside to cool completely on a wire rack in the tin.


step 2
Meanwhile, sift the icing sugar into a bowl, then tip in the mascarpone, double cream and pistachio paste.
 Beat until well combined, then set aside in the fridge for 20-30 mins to thicken to a spooning consistency.


step 3
Cut the cooled cake in half horizontally using a serrated knife, so you have two layers.
 Put the bottom layer on a plate or cake stand and spread over a generous spoonful of the pistachio cream.
 Top with a generous handful of the raspberries so the cake is covered.
 Top with the other sponge half, then cover the top and sides of the cake with the remaining cream.
 Scatter over the last of the raspberries, the remaining pistachios and the lime zest to serve.
 Will keep chilled in an airtight container for two days.
",https://www.bbcgoodfood.com/recipes/pistachio-cake
Easy Thai pumpkin soup,Lemongrass; Vegetable Stock; Thai Red Curry Paste; Ginger; Onion; Pumpkin; Sunflower Oil; Coconut Milk; Red Chilli; Lime juice; Sugar,"step 1
Heat oven to 200C/180C fan/gas 6.
 Toss the pumpkin or squash in a roasting tin with half the oil and seasoning, then roast for 30 mins until golden and tender.


step 2
Meanwhile, put the remaining oil in a pan with the onion, ginger and lemongrass.
 Gently cook for 8-10 mins until softened.
 Stir in the curry paste for 1 min, followed by the roasted pumpkin, all but 3 tbsp of the coconut milk and the stock.
 Bring to a simmer, cook for 5 mins, then fish out the lemongrass.
 Cool for a few mins, then whizz until smooth with a hand blender, or in a large blender in batches.
 Return to the pan to heat through, seasoning with salt, pepper, lime juice and sugar, if it needs it.
 Serve drizzled with the remaining coconut milk and scattered with chilli, if you like.
",https://www.bbcgoodfood.com/recipes/thai-pumpkin-soup
Easy Beef pho,Basil; Coriander Seeds; Fish Sauce; Coriander; Onion; Cinnamon Stick; Beef Stock; Sirloin steak; Birds-eye Chillies; Lime; Palm Sugar; Cloves; Soy Sauce; Rice Noodles; Ginger; Star Anise; Spring Onions,"step 1
Tip the beef stock along with 500ml of water into a large saucepan.
 Sit the onion and ginger in a frying pan over a high heat and char on all sides, around 3-5 mins (you can also do this under your grill).
 Once charred, add to the beef stock.
 In the same pan, toast the spices for 2-3 mins and once they begin to smell fragrant, add them to the beef stock as well.
 Bring the stock to the boil, then turn to a simmer and cook for 30mins before straining.


step 2
Meanwhile, cut the fat from the steak and wrap in cling film, then put into the freezer for 15 mins – this will make your steak really easy to slice! Slice it thinly, then cover with cling film again and pop into the fridge.


step 3
Taste the beef stock and use the palm sugar, fish sauce and soy to season.
 Cook the noodles according to package instructions and split between two bowls, topping each with the sliced beef.
 Bring the stock to the boil and then pour into the bowls (the heat will cook the beef).
 Top each with the spring onions, chilli slices and herbs.
 Serve with the lime wedges to squeeze over.
",https://www.bbcgoodfood.com/recipes/beef-pho
Coddled pork with cider,Potatoes; Chicken Stock; Bacon; Butter; Cabbage; Cider; Swede; Carrots; Pork Chops; Bay Leaf,"STEP 1
Heat the butter in a casserole dish until sizzling, then fry the pork for 2-3 mins on each side until browned.
 Remove from the pan.


STEP 2
Tip the bacon, carrot, potatoes and swede into the pan, then gently fry until slightly coloured.
 Stir in the cabbage, sit the chops back on top, add the bay leaf, then pour over the cider and stock.
 Cover the pan, then leave everything to gently simmer for 20 mins until the pork is cooked through and the vegetables are tender.


STEP 3
Serve at the table spooned straight from the dish.
",https://www.bbcgoodfood.com/recipes/irish-coddled-pork-cider
Nutty Chicken Curry Recipe,Chicken Stock; Chicken Breasts; Peanut Butter; Coriander; Red Chilli; Greek Yogurt; Sunflower Oil; Garlic; Ginger,"Finely slice a quarter of the chilli, then put the rest in a food processor with the ginger, garlic, coriander stalks and one-third of the leaves.
 Whizz to a rough paste with a splash of water if needed.

Heat the oil in a frying pan, then quickly brown the chicken chunks for 1 min.
 Stir in the paste for another min, then add the peanut butter, stock and yogurt.
 When the sauce is gently bubbling, cook for 10 mins until the chicken is just cooked through and sauce thickened.
 Stir in most of the remaining coriander, then scatter the rest on top with the chilli, if using.
 Eat with rice or mashed sweet potato.
",https://www.bbcgoodfood.com/recipes/11753/nutty-chicken-curry
Easy Portuguese fish stew (Caldeirada de peixe),Baguette; Bay Leaf; Mussels; Coriander; Red Chilli; Onions; Plum Tomatoes; Cod; Garlic; Squid; Dry White Wine; Clams; Saffron; Red Pepper; Potatoes; Tiger Prawns,"STEP 1

Heat a drizzle of oil in a large, deep-sided frying pan, and fry the onion and pepper on a medium heat until softened but not browned. Finely chop the coriander stalks (keep the leaves for later), and add to the pan with the chilli and chopped garlic. Fry for another few minutes. Add the wine, saffron and bay leaf and let it simmer until reduced by half.

STEP 2

Add the potatoes, tomatoes, and 300ml water and bring to a gentle boil. Break up the tomatoes with a spoon on the side of the pan and simmer for 20-25 minutes until the potatoes are just tender, and the tomatoes have broken down.

STEP 3

Season well, then gently push the fish into the sauce, and arrange the squid, prawns, clams and mussels on the surface. Put the lid on and cook for 6-8 minutes until the mussel and clam shells have opened, the prawns are cooked and the fish is flaky. Toast the bread, rub lightly with the halved garlic clove and drizzle with olive oil. Serve the stew scatted with chopped coriander leaves, and the toasts for dunking.",https://www.olivemagazine.com/recipes/one-pots/portuguese-fish-stew-caldeirada-de-peixe/
Brun Lapskaus (Norwegian Beef Vegetable Stew) Recipe,Swede; Beef; Parsley; Carrots; Olive Oil; Parsley; Beef Stock; Celery; Potatoes; Leek; Onion,"▢
Heat olive oil in a large pot. Cut beef into 1 inch (2.5 cm) cubes and brown in oil.
▢
Dice the onion and add to browning beef. Add the stock and bring to a boil, then lower the heat, cover, and let simmer for about 30 minutes.
▢
Peel and cut the rutabaga and celery root into 1 inch (2.5 cm) cubes. Add to the pot, cover, and continue simmering for another 30 minutes.
▢
Peel and chop the rest of the vegetables into 1 inch (2.5 cm) cubes and add to the pot. Slice the leek into rings. Cover and continue simmering for about 20 minutes. Stir as little as possible.
▢
Top with fresh parsley.",https://scandinaviancookbook.com/brun-lapskaus-norwegian-beef-vegetable-root-stew/
Roast aubergine with goat's cheese & toasted flatbread Style,Pita Bread; Shallots; Shallots; Mint; Cherry Tomatoes; Balsamic Vinegar; Goats Cheese; Extra Virgin Olive Oil; Aubergine; Rocket; Red Chilli,"step 1
Heat oven to 200C/180C fan/gas 6.
 Brush the aubergine slices with 1 tbsp of the oil, then season.
 Arrange on a baking tray or sheet and roast for 20 mins until browned, popping the tomatoes on the tray for the final 5 mins.
 Tear the flatbread into pieces and place on a separate baking sheet.
 Brown in the oven for 8 mins, or until crisp, then remove.


step 2
For the dressing, in a small bowl, mix the vinegar, mint, chopped shallots, chilli, remaining oil and some salt and pepper.


step 3
Scatter the aubergine slices, tomatoes, sliced shallot and crisp flatbread into a serving bowl.
 Pour over the dressing, sprinkle with the goat’s cheese and scatter over a little rocket.
",https://www.bbcgoodfood.com/recipes/roast-aubergine-goats-cheese-toasted-flatbread
Chicken Quinoa Greek Salad,Butter; Quinoa; Feta; Red Onions; Chicken Breast; Lemon; Olive Oil; Mint; Black Olives; Garlic; Red Chilli,"Cook the quinoa following the pack instructions, then rinse in cold water and drain thoroughly.


Meanwhile, mix the butter, chilli and garlic into a paste.
 Toss the chicken fillets in 2 tsp of the olive oil with some seasoning.
 Lay in a hot griddle pan and cook for 3-4 mins each side or until cooked through.
 Transfer to a plate, dot with the spicy butter and set aside to melt.


Next, tip the tomatoes, olives, onion, feta and mint into a bowl.
 Toss in the cooked quinoa.
 Stir through the remaining olive oil, lemon juice and zest, and season well.
 Serve with the chicken fillets on top, drizzled with any buttery chicken juices.
",https://www.bbcgoodfood.com/recipes/griddled-chicken-quinoa-greek-salad
Easy Duck Confit,Duck Legs; Garlic; Sea Salt; Thyme; White Wine; Bay Leaf,"The day before you want to make the dish, scatter half the salt, half the garlic and half of the herbs over the base of a small shallow dish. Lay the duck legs, skin-side up, on top, then scatter over the remaining salt, garlic and herbs. Cover the duck and refrigerate overnight. This can be done up to 2 days ahead.
Pour the wine into a saucepan that will snugly fit the duck legs in a single layer. Brush the salt off the duck legs and place them, skin-side down, in the wine. Cover the pan with a lid and place over a medium heat. As soon as the wine starts to bubble, turn the heat down to the lowest setting and cook for 2 hours, checking occasionally that the liquid is just barely simmering. (If you own a heat diffuser, it would be good to use it here.) After 2 hours, the duck legs should be submerged in their own fat and the meat should feel incredibly tender when prodded. Leave to cool.
The duck legs are now cooked and can be eaten immediately – or you can follow the next step if you like them crisp. If you are preparing ahead, pack the duck legs tightly into a plastic container or jar and pour over the fat, but not the liquid at the bottom of the pan. Cover and leave in the fridge for up to a month, or freeze for up to 3 months. The liquid you are left with makes a tasty gravy, which can be chilled or frozen until needed.
To reheat and crisp up the duck legs, heat oven to 220C/fan 200C/gas 7. Remove the legs from the fat and place them, skin-side down, in an ovenproof frying pan. Roast for 30-40 mins, turning halfway through, until brown and crisp. Serve with the reheated gravy, a crisp salad and some crisp golden ptoatoes.",https://www.bbcgoodfood.com/recipes/2085/barneys-confit-of-duck
Beef Sunday Roast,Beef; Eggs; sunflower oil; plain flour; Carrots; milk; Potatoes; Broccoli,"Cook the Broccoli and Carrots in a pan of boiling water until tender.

Roast the Beef and Potatoes in the oven for 45mins, the potatoes may need to be checked regularly to not overcook.

To make the Yorkshire puddings:
Heat oven to 230C/fan 210C/gas 8. Drizzle a little sunflower oil evenly into 2 x 4-hole Yorkshire pudding tins or a 12-hole non-stick muffin tin and place in the oven to heat through
To make the batter, tip 140g plain flour into a bowl and beat in four eggs until smooth. Gradually add 200ml milk and carry on beating until the mix is completely lump-free. Season with salt and pepper. Pour the batter into a jug, then remove the hot tins from the oven. Carefully and evenly pour the batter into the holes. Place the tins back in the oven and leave undisturbed for 20-25 mins until the puddings have puffed up and browned. Serve immediately.

Plate up and add the Gravy as desired.",https://www.bbcgoodfood.com/recipes/9020/best-yorkshire-puddings
Osso Buco alla Milanese Style,Olive Oil; Orange Zest; Dry White Wine; Flour; Celery; Butter; Garlic; Marjoram; Lemon Zest; Onion; Fennel; Carrots; Chicken Stock; Tomatoes; Garlic; Veal; Bay Leaf; Parsley,"Heat the oven to 300 degrees.

Dredging the shanks: pour the flour into a shallow dish (a pie plate works nicely).
 Season the veal shanks on all sides with salt and pepper.
 One at a time, roll the shanks around in the flour coat, and shake and pat the shank to remove any excuses flour.
 Discard the remaining flour.

Browning the shanks: put the oil and 1 tablespoon of the butter in a wide Dutch oven or heavy braising pot (6 to 7 quart) and heat over medium-high heat.
 When the butter has melted and the oil is shimmering, lower the shanks into the pot, flat side down; if the shanks won’t fit without touching one another, do this in batches.
 Brown the shanks, turning once with tongs, until both flat sides are well caramelized, about 5 minutes per side.
 If the butter-oil mixture starts to burn, lower the heat just a bit.
 Transfer the shanks to a large platter or tray and set aside.

The aromatics: pour off and discard the fat from the pot.
 Wipe out any burnt bits with a damp paper towel, being careful not to remove any delicious little caramelized bits.
 Ad the remaining 2 tablespoons butter to the pot and melt it over medium heat.
 When the butter has stopped foaming, add the onion, carrot, celery, and fennel.
 Season with salt and pepper, stir, and cook the vegetables until they begin to soften but do not brown, about 6 minutes.
 Stir in the garlic, orange zest, marjoram, and bay leaf, and stew for another minute or two.

The braising liquid: add the wine, increase the heat to high, and bring to a boil.
 Boil, stirring occasionally, to reduce the wine by about half, 5 minutes.
 Add the stock and tomatoes, with their juice, and boil again to reduce the liquid to about 1 cup total, about 10 minutes.

The braise: Place the shanks in the pot so that they are sitting with the exposed bone facing up, and pour over any juices that accumulated as they sat.
 Cover with parchment paper, pressing down so the parchment nearly touches the veal and the edges hang over the sides of the pot by about an inch.
 Cover tightly with the lid, and slide into the lower part of the oven to braise at a gentle simmer.
 Check the pot after the first 15 minutes, and if the liquid is simmering too aggressively, lower the oven heat by 10 or 15 degrees.
 Continue braising, turning the shanks and spooning some pan juices over the top after the first 40 minutes, until the meat is completely tender and pulling away from the bone, about 2 hours.

The gremolata: While the shanks are braising, stir together the garlic, parsley, and lemon zest in a small bowl.
 Cover with plastic wrap and set aside in a cool place (or the refrigerator, if your kitchen is very warm.
)
The finish: When the veal is fork-tender and falling away from the bone, remove the lid and sprinkle over half of the gremolata.
 Return the veal to the oven, uncovered, for another 15 minutes to caramelize it some.

Using a slotted spatula or spoon, carefully lift the shanks from the braising liquid, doing your best to keep them intact.
 The shanks will be very tender and threatening to fall into pieces, and the marrow will be wobbly inside the bones, so this can be a bit tricky.
 But if they do break apart, don’t worry, the flavor won’t suffer at all.
 Arrange the shanks on a serving platter or other large plate, without stacking, and cover with foil to keep warm.

Finishing the sauce: Set the braising pot on top of the stove and evaluate the sauce: if there is a visible layer of fat floating on the surface, use a large spoon to skim it off and discard it.
 Taste the sauce for concentration of flavor.
 If it tastes a bit weak or flat, bring it to a boil over high heat, and boil to reduce the volume and intensify the flavor for 5 to 10 minutes.
 Taste again for salt and pepper.
 If the sauce wants more zip, stir in a teaspoon or two of the remaining gremolata.

Portioning the veal shanks: if the shanks are reasonably sized, serve one per person.
 If the shanks are gargantuan or you’re dealing with modest appetites, pull apart the larger shanks, separating them at their natural seams, and serve smaller amounts.
 Be sure to give the marrow bones to whomever prizes them most.

Serving: Arrange the veal shanks on warm dinner plates accompanied by the risotto, if serving.
 Just before carrying the plates to the table, sprinkle on the remaining gremolata and then spoon over a generous amount of sauce – the contact with the hot liquid will aromatize the gremolata and perk up everyone’s appetite with the whiff of garlic and lemon.
",https://www.cookstr.com/Meat/Osso-Buco-alla-Milanese
Battenberg Cake,Almond Extract; Baking Powder; Pink Food Colouring; Icing Sugar; Self-raising Flour; Vanilla Extract; Vanilla Extract; Baking Powder; Eggs; Marzipan; Almonds; Butter; Self-raising Flour; Butter; Eggs; Almonds; Almond Extract; Apricot; Caster Sugar; Caster Sugar,"Heat oven to 180C/160C fan/gas 4 and line the base and sides of a 20cm square tin with baking parchment (the easiest way is to cross 2 x 20cm-long strips over the base). To make the almond sponge, put the butter, sugar, flour, ground almonds, baking powder, eggs, vanilla and almond extract in a large bowl. Beat with an electric whisk until the mix comes together smoothly. Scrape into the tin, spreading to the corners, and bake for 25-30 mins – when you poke in a skewer, it should come out clean. Cool in the tin for 10 mins, then transfer to a wire rack to finish cooling while you make the second sponge.
For the pink sponge, line the tin as above. Mix all the ingredients together as above, but don’t add the almond extract. Fold in some pink food colouring. Then scrape it all into the tin and bake as before. Cool.
To assemble, heat the jam in a small pan until runny, then sieve. Barely trim two opposite edges from the almond sponge, then well trim a third edge. Roughly measure the height of the sponge, then cutting from the well-trimmed edge, use a ruler to help you cut 4 slices each the same width as the sponge height. Discard or nibble leftover sponge. Repeat with pink cake.
Take 2 x almond slices and 2 x pink slices and trim so they are all the same length. Roll out one marzipan block on a surface lightly dusted with icing sugar to just over 20cm wide, then keep rolling lengthways until the marzipan is roughly 0.5cm thick. Brush with apricot jam, then lay a pink and an almond slice side by side at one end of the marzipan, brushing jam in between to stick sponges, and leaving 4cm clear marzipan at the end. Brush more jam on top of the sponges, then sandwich remaining 2 slices on top, alternating colours to give a checkerboard effect. Trim the marzipan to the length of the cakes.
Carefully lift up the marzipan and smooth over the cake with your hands, but leave a small marzipan fold along the bottom edge before you stick it to the first side. Trim opposite side to match size of fold, then crimp edges using fingers and thumb (or, more simply, press with prongs of fork). If you like, mark the 10 slices using the prongs of a fork.
Assemble second Battenberg and keep in an airtight box or well wrapped in cling film for up to 3 days. Can be frozen for up to a month.",https://www.bbcgoodfood.com/recipes/1120657/battenberg-cake
Bitterballen (Dutch meatballs) Recipe,Beef; Flour; Breadcrumbs; Beef Stock; Flour; Onion; Parsley; Eggs; Salt; Butter; Pepper; Nutmeg,"Melt the butter in a skillet or pan. When melted, add the flour little by little and stir into a thick paste. Slowly stir in the stock, making sure the roux absorbs the liquid. Simmer for a couple of minutes on a low heat while you stir in the onion, parsley and the shredded meat. The mixture should thicken and turn into a heavy, thick sauce.

Pour the mixture into a shallow container, cover and refrigerate for several hours, or until the sauce has solidified.

Take a heaping tablespoon of the cold, thick sauce and quickly roll it into a small ball. Roll lightly through the flour, then the egg and finally the breadcrumbs. Make sure that the egg covers the whole surface of the bitterbal. When done, refrigerate the snacks while the oil in your fryer heats up to 190C (375F). Fry four bitterballen at a time, until golden.

Serve on a plate with a nice grainy or spicy mustard. 
",https://www.holland.com/global/tourism/information/traditional-dutch-food/bitterballen.htm
